項次,單位代號,核准日期,預算科目/名稱,關注民代,補助縣市鄉鎮區,申請補(捐)助單位,統一編號,活動名稱,活動時間(起),活動時間(迄),活動地點,"活動總經額 (千元)","申請補助金額 (千元)","核准補助金額 (千元)",核准理由
21,75,aa,aa,aa,臺中市,臺中市梧棲區公所,aa,協助臺中市梧棲區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,42207,促進電力開發，協助公共建設及增進地方福祉
22,75,aa,aa,aa,臺中市,臺中市沙鹿區公所,aa,協助臺中市沙鹿區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,18351,促進電力開發，協助公共建設及增進地方福祉
23,75,aa,aa,aa,臺中市,臺中市清水區公所,aa,協助臺中市清水區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,17078,促進電力開發，協助公共建設及增進地方福祉
24,75,aa,aa,aa,臺中市,臺中市大肚區公所,aa,協助臺中市大肚區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,22021,促進電力開發，協助公共建設及增進地方福祉
25,75,aa,aa,陳超明立委,臺中市,臺中市和平區公所,aa,協助臺中市和平區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,12828,促進電力開發，協助公共建設及增進地方福祉
26,75,aa,aa,aa,臺中市,臺中市東勢區公所,aa,協助臺中市東勢區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,1426,促進電力開發，協助公共建設及增進地方福祉
27,75,aa,aa,aa,新北市,新北市新店區公所,aa,協助新北市新店區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,355,促進電力開發，協助公共建設及增進地方福祉
28,75,aa,aa,aa,新北市,新北市烏來區公所,aa,協助新北市烏來區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,689,促進電力開發，協助公共建設及增進地方福祉
29,75,aa,aa,aa,彰化縣,彰化縣鹿港鎮公所,aa,協助彰化縣鹿港鎮公所103年度發電年度協助金(運轉中)--彰工風力發電機組,aa,aa,aa,aa,aa,305,促進電力開發，協助公共建設及增進地方福祉
30,75,aa,aa,aa,苗栗縣,業務處,aa,協助苗栗區營業處辦理竹南鎮民陳秀美急難救助金,aa,aa,苗栗縣竹南鎮,10,10,10,配合宣導電力開發，提升台電企業形象
31,75,aa,aa,顏寬恆立委,臺中市,財團法人大甲媽社會福利基金會,98838468,協助財團法人大甲媽社會福利基金會辦理2014大甲媽祖國際觀光文化節(預計活動時程:103.2.14-5.11),103.2.14,103.5.11,台中市大甲區,67900,12000,6000,配合宣導電力開發，提升台電企業形象
32,75,aa,aa,aa,南投縣,南投縣水里鄉公所,aa,協助南投縣水里鄉公所辦理2014丹大林道峽谷馬拉松觀光晚會(預計活動時程:103.2.8-9),103.2.8,103.2.9,南投縣水里鄉,500,150,100,配合宣導電力開發，提昇文教品質
33,75,aa,aa,aa,南投縣,南投縣魚池鄉公所,aa,協助南投縣魚池鄉公所辦理「馬年奔騰、旺運連連、幸福魚池」攻炮城、猜燈謎晚會活動(預計活動時程:103.2.14),103.2.14,103.2.14,南投縣魚池鄉,187,80,80,配合宣導電力開發，維護傳統習俗
34,75,aa,aa,aa,花蓮縣,東部發電廠,aa,協助東部發電廠辦理花蓮縣秀林鄉和平村李秀玲急難救助協助金,aa,aa,花蓮縣秀林鄉,20,20,20,關懷弱勢，提升台電企業形象
35,75,aa,aa,aa,花蓮縣,東部發電廠,aa,協助東部發電廠辦理花蓮縣秀林鄉富世村白錦玉急難救助協助金,aa,aa,花蓮縣秀林鄉,30,30,30,關懷弱勢，提升台電企業形象
36,75,aa,aa,aa,新北市,林口發電廠,aa,協助林口發電廠辦理回顧歷史展望未來紀念活動(預計活動時程:103.8.28-31),103.8.28,103.8.31,新北市林口區,534,534,534,配合宣導電力開發，提升台電企業形象
37,75,aa,aa,aa,高雄市,高雄市沿海資源關懷協會,70998055,協助高雄市沿海資源關懷協會辦理會員大會及宣導支持大林電廠更新改建計畫暨節約能源活動(預計活動時程:103.2.16),103.2.16,103.2.16,高雄市小港區,157,90,60,配合宣導電力開發，提升台電企業形象
38,75,aa,aa,aa,高雄市,高雄市空氣防污維護協會,99018164,協助高雄市空氣防污維護協會辦理關懷老人生活及參觀國家經濟建設暨宣導支持大林電廠更新改建計畫活動(預計活動時程:103.2.23-24),103.2.23,103.2.24,高雄市小港區,140,80,70,配合宣導電力開發，提升台電企業形象
39,75,aa,aa,王金平立委,高雄市,高雄市林園區農會,85176205,協助高雄市林園區農會辦理慶祝103年度農民節表彰大會暨電力宣導活動(預計活動時程:103.2.25),103.2.25,103.2.25,高雄市林園區,480,100,100,配合宣導電力開發，維護傳統習俗
40,75,aa,aa,aa,高雄市,高雄市長樂敬老協會,14930940,協助高雄市長樂敬老協會辦理會員觀摩研習及參訪國家經濟建設暨宣導支持大林發電廠更新改建計畫活動(預計活動時程:103.2.25-27),103.2.25,103.2.27,高雄市小港區,627,200,100,配合宣導電力開發，提升台電企業形象
41,75,aa,aa,aa,高雄市,高雄市漁民港務促進會,18428580,協助高雄市漁民港務促進會辦理海上救難演練暨宣導支持大林電廠更新改建計畫活動(預計活動時程:103.4.14),103.4.14,103.4.14,高雄市小港區,178,100,80,配合宣導電力開發，提升台電企業形象
42,75,aa,aa,aa,高雄市,高雄市彌陀區漁會,88230702,協助高雄市彌陀區漁會辦理漁業建設參訪促進地方產業活動(預計活動時程:103.1.1-2.28),103.1.1,103.2.28,高雄市彌陀區,400,300,200,促進電力開發，增進產業發展
43,75,aa,aa,aa,高雄市,高雄市茄萣婦女工作協會,3662909,協助高雄市茄萣婦女工作協會辦理單親、弱勢家庭子女課後照顧計畫(預計活動時程:103.2.10-12.31),103.2.10,103.12.31,高雄市茄萣區,348,100,60,關懷弱勢，提升台電企業形象
44,75,aa,aa,aa,高雄市,高雄市路竹區農會,88323700,協助高雄市路竹區農會辦理103年度農民節慶祝大會(預計活動時程:103.2.25),103.2.25,103.2.25,高雄市路竹區,415,120,100,配合宣導電力開發，維護傳統習俗
45,75,aa,aa,aa,高雄市,高雄市永安區公所,aa,協助高雄市永安區公所辦理2014天文文化節王爺節狀元筆暨宣導節約能源活動計畫(預計活動時程:103.2.16),103.2.16,103.2.16,高雄市永安區,801,300,270,配合宣導電力開發，維護傳統習俗
46,75,aa,aa,aa,高雄市,高雄市彌陀里務成長協進會,10710058,協助高雄市彌陀里務成長協進會辦理地方產業觀摩活動(預計活動時程:103.2.16-18),103.2.16,103.2.18,高雄市彌陀區,290,100,90,配合宣導電力開發，提升台電企業形象
47,75,aa,aa,aa,高雄市,高雄市彌陀區農會,88510204,協助高雄市彌陀區農會辦理103年農民節擴大慶祝大會暨電力建設宣導活動(預計活動時程:103.2.19),103.2.19,103.2.19,高雄市彌陀區,240,100,100,配合宣導電力開發，維護傳統習俗
48,75,aa,aa,aa,高雄市,高雄市茄萣社服協會,36643528,協助高雄市茄萣社服協會辦理103年度會員親子聯誼暨鄉親節約能源宣導活動(預計活動時程:103.3.1),103.3.1,103.3.1,高雄市茄萣區,245,120,70,配合宣導電力開發，提升台電企業形象
49,75,aa,aa,aa,高雄市,大高雄彌陀婦女會,62973159,協助大高雄彌陀婦女會辦理103年度地方產業觀摩聯誼活動(預計活動時程:103.3.9-11),103.3.9,103.3.11,高雄市彌陀區,472,100,50,配合宣導電力開發，提升台電企業形象
50,75,aa,aa,aa,高雄市,高雄市彌陀區公所,aa,協助高雄市彌陀區公所辦理漯底山音樂節活動(預計活動時程:103.3.15-30),103.3.15,103.3.30,高雄市彌陀區,1300,300,100,配合宣導電力開發，提昇文教品質
51,75,aa,aa,aa,高雄市,高雄市彌陀安樂松柏長青會,20249824,協助高雄市彌陀安樂松柏長青會辦理103年地方產業文化觀摩活動(預計活動時程:103.3.26-28),103.3.26,103.3.28,高雄市彌陀區,279,90,45,配合宣導電力開發，提升台電企業形象
52,75,aa,aa,aa,高雄市,中華民國婦女聯合會高雄市分會彌陀區支會,62988060,協助中華民國婦女聯合會高雄市分會彌陀區支會辦理103年度地方產業文化參訪聯誼活動(預計活動時程:103.3.29-30),103.3.29,103.3.30,高雄市彌陀區,520,340,150,配合宣導電力開發，提升台電企業形象
53,75,aa,aa,aa,高雄市,高雄市彌陀區文安社區發展協會,78935998,協助高雄市彌陀區文安社區發展協會辦理103年度地方產業文化交流活動(預計活動時程:103.2.21-23),103.2.21,103.2.23,高雄市彌陀區,390,120,45,配合宣導電力開發，提升台電企業形象
54,75,aa,aa,aa,高雄市,高雄市路竹舢筏協會,17659632,協助高雄市路竹舢筏協會辦理第四屆第四次會員大會及節約用電、節約能源、節能減碳宣導活動(預計活動時程:103.2.22),103.2.22,103.2.22,高雄市竹區,201,100,60,配合宣導電力開發，提升台電企業形象
55,75,aa,aa,aa,高雄市,高雄市彌陀區農會,88510204,協助高雄市彌陀區農會辦理103年度農村再生示範交流暨節約能源宣導活動(預計活動時程:103.3.5-7),103.3.5,103.3.7,高雄市彌陀區,218,100,100,配合宣導電力開發，提升台電企業形象
56,75,aa,aa,aa,高雄市,高雄市彌陀區鹽埕社區發展協會,29427840,協助高雄市彌陀區鹽埕社區發展協會辦理傳統技藝祈福文化活動(預計活動時程:103.4.22-25),103.4.22,103.4.25,高雄市彌陀區,450,200,100,配合宣導電力開發，維護傳統習俗
57,75,aa,aa,aa,新北市,第一核能發電廠,aa,協助第一核能發電廠辦理特別助學金關懷菁英學生暨節能減碳與電價合理化宣導活動(預計活動時程:103.2月中旬),103.02.11,103.02.20,新北市石門及三芝區,100,100,100,關懷弱勢，提升台電企業形象
58,75,aa,aa,aa,新北市,新北市三芝區農會,37005105,協助新北市三芝區農會辦理103年度新北市三芝區農民節活動暨優秀農民表揚大會計畫(預計活動時程:103.2.1-3.31),103.02.01,103.03.31,新北市三芝區,165,90,90,配合宣導電力開發，維護傳統習俗
59,75,aa,aa,aa,新北市,新北市金山區農會,37181600,協助新北市金山區農會辦理103年輔導農業生產資材(肥料)計畫,103.03.01,104.03.30,新北市金山區及萬里區,6264,1000,1000,促進電力開發，增進產業發展
60,75,aa,aa,aa,新北市,新北市萬里區公所,aa,協助新北市萬里區公所辦理調解委員會業務參訪活動(預計活動時程:103.1-12),103.01.01,103.12.31,新北市萬里區,188,30,30,配合宣導電力開發，提升台電企業形象
61,75,aa,aa,aa,新北市,新北市金山地區農會,37181600,協助新北市金山地區農會辦理金山、萬里各界103年度慶祝農民節大會(預計活動時程:103.3.3),103.03.03,103.03.03,新北市金山區及萬里區,208,150,150,配合宣導電力開發，維護傳統習俗
62,75,aa,aa,aa,屏東縣,屏東縣恆春鎮公所,91605302,協助屏東縣恆春鎮公所辦理103年度里長觀摩地方建設活動(預計活動時程:103.3.4-6),103.03.04,103.03.06,雲林縣、南投縣、台南市、高雄市,250,200,100,配合宣導電力開發，提升台電企業形象
63,75,aa,aa,aa,基隆市,基隆市農會,277408,協助基隆市農會辦理基隆市103年度農民節慶祝大會計畫(預計活動時程:103.2.9),103.2.9,103.2.9,基隆市七堵區,400,200,80,配合宣導電力開發，維護傳統習俗
64,75,aa,aa,aa,基隆市,基隆市外木山民俗文化觀光協會,37959762,協助基隆市外木山民俗文化觀光協會辦理協安宮春節中南部進香活動(預計活動時程:103.2.15-18),103.2.15,103.2.18,基隆市中山區,271,150,100,配合宣導電力開發，維護傳統習俗
65,75,aa,aa,aa,苗栗縣,中華影視及流行音樂推廣協會,39926795,協助中華影視及流行音樂推廣協會辦理2014苗栗民俗藝術節(預計活動時程:103.1.31-2.3),103.1.31,103.2.3,苗栗縣通霄鎮,2035,300,50,配合宣導電力開發，提升台電企業形象
66,75,aa,aa,aa,苗栗縣,苗栗縣通霄鎮福源社區發展協會,66843299,協助苗栗縣通霄鎮福源社區發展協會辦理福龍˙福源里文化節慶與藝術團隊活動(預計活動時程:103.2.16),103.2.16,103.2.16,苗栗縣通霄鎮,204,40,30,配合宣導電力開發，維護傳統習俗
67,75,aa,aa,aa,苗栗縣,苗栗縣苑裡鎮山柑社區發展協會,17706804,協助苗栗縣苑裡鎮山柑社區發展協會辦理103年度【洄鄉樂活暨推動民俗文化環境研習節能減碳活動】計畫書(預計活動時程:103.1.26),103.1.26,103.1.26,苗栗縣苑裡鎮,183,60,30,配合宣導電力開發，提升台電企業形象
68,75,aa,aa,aa,苗栗縣,苗栗縣苑裡鎮苑南社區發展協會,19292885,協助苗栗縣苑裡鎮苑南社區發展協會辦理慶祝103年元宵節提燈製作活動(預計活動時程:103.2.9),103.2.9,103.2.9,苗栗縣苑裡鎮,130,30,20,配合宣導電力開發，維護傳統習俗
69,75,aa,aa,aa,苗栗縣,苗栗縣苑裡吉祥敬老尊賢協會,45825458,協助苗栗縣苑裡吉祥敬老尊賢協會辦理103年健康講座暨猜燈謎才藝表演活動(預計活動時程:103.2.10),103.2.10,103.2.10,苗栗縣苑裡鎮,95,20,20,配合宣導電力開發，維護傳統習俗
70,75,aa,aa,aa,苗栗縣,苗栗縣苑裡鎮南勢社區發展協會,15734522,協助苗栗縣苑裡鎮南勢社區發展協會辦理103年度節約能源親子活動暨民壯寮老土地公聖誕慶典活動(預計活動時程:103.2.14),103.2.14,103.2.14,苗栗縣苑裡鎮,130,50,30,配合宣導電力開發，維護傳統習俗
71,75,aa,aa,aa,苗栗縣,苗栗縣苑裡社南媽祖文化民俗觀光協會,45359489,協助苗栗縣苑裡社南媽祖文化民俗觀光協會辦理「103年社南媽祖文化民俗巡禮」活動計畫(預計活動時程:103.3.29-31),103.3.29,103.3.31,苗栗縣苑裡鎮,97,39,25,配合宣導電力開發，維護傳統習俗
72,75,aa,aa,aa,苗栗縣,苗栗縣通霄鎮通霄國民小學,aa,協助苗栗縣通霄鎮通霄國民小學辦理通霄國小第21屆美術資優班畢業作品專輯編印計畫(預計活動時程:103.2.20-5.8),103.2.20,103.5.8,苗栗縣通霄國小,99,90,80,配合宣導電力開發，提昇文教品質
73,75,aa,aa,aa,苗栗縣,苗栗縣苑裡鎮新復社區發展協會,19283247,協助苗栗縣苑裡鎮新復社區發展協會辦理103年「媽祖民俗文化」活動(預計活動時程:103.3.22-23),103.3.22,103.3.23,苗栗縣苑裡鎮,291,50,30,配合宣導電力開發，維護傳統習俗
74,75,aa,aa,aa,苗栗縣,苗栗縣通霄通南媽祖文化協會,26909098,協助苗栗縣通霄通南媽祖文化協會辦理103年通南天上聖母祈福文化活動計畫(預計活動時程:103.3.8-9),103.3.8,103.3.9,苗栗縣通霄鎮,944,300,80,配合宣導電力開發，維護傳統習俗
75,75,aa,aa,aa,苗栗縣,苗栗縣真善美文化歌謠研習推展協會,45675768,協助苗栗縣真善美文化歌謠研習推展協會辦理103年度消防安全宣導講習暨社區才藝表演活動(預計活動時程:103.5.16),103.5.16,103.5.16,苗栗縣苑裡鎮,163,50,30,配合宣導電力開發，提昇文教品質
76,75,aa,aa,aa,苗栗縣,苗栗縣通霄鎮公所,aa,協助苗栗縣通霄鎮公所辦理103年拱天宮北港進香-通霄鎮公所奉茶專車(預計活動時程:103.3.21-31),103.3.21,103.3.31,苗栗縣通霄鎮,120,60,50,配合宣導電力開發，維護傳統習俗
77,75,aa,aa,aa,苗栗縣,苗栗縣客閩音悅文化推展協會,39923045,協助苗栗縣客閩音悅文化推展協會辦理103年度客閩風情迎金馬活動(預計活動時程:103.3.19),103.3.19,103.3.19,苗栗縣苑裡鎮,188,30,25,配合宣導電力開發，提升台電企業形象
78,75,aa,aa,aa,苗栗縣,苗栗縣苑裡鎮客庄社區發展協會,13998251,協助苗栗縣苑裡鎮客庄社區發展協會辦理結合文化技藝團體辦理103年度聖母媽祖文化藝術觀光季聯合活動(預計活動時程:103.4.9-13),103.4.9,103.4.13,苗栗縣苑裡鎮,528,50,30,配合宣導電力開發，維護傳統習俗
79,75,aa,aa,aa,臺中市,臺中市龍井區農會,56376204,協助臺中市龍井區農會辦理慶祝103年農民節表彰大會暨新春團拜活動(預計活動時程:103.2.13),103.2.13,103.2.13,台中市,581,200,100,配合宣導電力開發，維護傳統習俗
80,75,aa,aa,aa,臺中市,臺中市龍井區麗水社區發展協會,14929373,協助臺中市龍井區麗水社區發展協會辦理元宵佳節喜迎春寒冬送暖愛心晚會暨支持台電公司節約能源政策宣導活動(預計活動時程:103.2.14),103.2.14,103.2.14,台中市,523,400,270,配合宣導電力開發，維護傳統習俗
81,75,aa,aa,aa,臺中市,臺中市清水區公所,aa,協助臺中市清水區公所辦理103年健行活動(預計活動時程:103.3.23),103.3.23,103.3.23,台中市,650,400,90,配合宣導電力開發，提昇文教品質
82,75,aa,aa,aa,臺中市,臺中市龍井區龍津社區發展協會,74868596,協助臺中市龍井區龍津社區發展協會辦理103年奉天宮民俗文化觀摩暨節約用電宣導活動(預計活動時程:103.2.28-3.1),103.2.28,103.3.1,台中市,521,80,70,配合宣導電力開發，維護傳統習俗
83,75,aa,aa,aa,臺中市,臺中市龍井區公所,aa,協助臺中市龍井區公所辦理三德里守望相助推行委員會辦理三德里守望相助隊15週年慶表揚優秀隊員暨推廣乾淨能源政策及用電安全宣導活動(預計活動時程:103.3.9),103.3.9,103.3.9,台中市,254,100,50,配合宣導電力開發，提升台電企業形象
84,75,aa,aa,aa,臺中市,臺中市清水區公所,aa,協助臺中市清水區公所辦理臺中市清水區103年公民民主生活教育觀摩研習活動暨節約用電宣導(預計活動時程:103.4.17-19),103.4.17,103.4.19,台中市,880,300,190,配合宣導電力開發，提昇文教品質
85,75,aa,aa,aa,臺中市,社團法人台灣社區終身學習推廣協會,26857319,"協助社團法人台灣社區終身學習推廣協會辦理『~龍舟共濟 福氣包眾~』關懷弱勢家庭暨支持電源開發宣導活動計畫書(預計活動時程:103.4.27)",103.4.27,103.4.27,台中市,331,250,130,配合宣導電力開發，提升台電企業形象
86,75,aa,aa,aa,臺中市,臺中市漁民發展協會,20400623,協助臺中市漁民發展協會辦理觀摩各漁港漁民作業概況，以提升捕魚技術暨宣導節約能源活動(預計活動時程:103.3.8-10),103.3.8,103.3.10,台中市,534,230,180,促進電力開發，增進產業發展
87,75,aa,aa,aa,桃園縣,桃園縣新屋鄉農會,44811105,協助桃園縣新屋鄉農會辦理新屋鄉各界慶祝103年度農民節表揚大會暨節約電源宣導活動(預計活動時程:103.2.16),103.2.16,103.2.16,桃園縣新屋鄉,600,200,60,配合宣導電力開發，維護傳統習俗
88,75,aa,aa,廖正井立委,桃園縣,桃園縣新屋鄉老人會,18236437,協助桃園縣新屋鄉老人會辦理103年春季戶外教學研習暨節約能源宣導講座活動(預計活動時程:103.2.25-3.6),103.2.25,103.3.6,台中市、台南市,664,100,80,配合宣導電力開發，提升台電企業形象
89,75,aa,aa,aa,新北市,新北市瑞芳區深澳社區發展協會,20008655,協助新北市瑞芳區深澳社區發展協會辦理碧雲宮玉皇上帝萬壽暨重建五十週年慶典遶境祈安及愛心捐助活動(預計活動時程:103.2.6-9),103.2.8,103.2.8,新北市瑞芳區,1361,300,150,配合宣導電力開發，維護傳統習俗
90,75,aa,aa,aa,新北市,北部施工處,aa,協助北部施工處主動辦理協助103年度新北市林口區林口國中羽球隊培育訓練計畫(預計主動關懷認養活動時程:103.1.1-12.31),103.1.1,103.12.31,新北市林口區,200,200,200,配合宣導電力開發，提昇文教品質
91,75,aa,aa,aa,南投縣,南投縣政府,aa,協助南投縣政府103年度輸變電協助金(施工中)--投中D/S新建工程(完工),aa,aa,aa,aa,aa,1080,促進電力開發，協助公共建設及增進地方福祉
92,75,aa,aa,aa,雲林縣,雲林縣口湖鄉公所,aa,協助雲林縣口湖鄉公所辦理103年新春聯誼暨電力建設宣導計畫活動(預計活動時程:103.2.13),103.2.13,103.2.13,雲林縣口湖鄉,91,50,50,配合宣導電力開發，提升台電企業形象
93,75,aa,aa,aa,彰化縣,彰化縣線西鄉公所,aa,協助彰化縣線西鄉公所辦理線西鄉清潔隊資源回收貯存場及其附屬設施興建工程計畫,aa,aa,彰化縣線西鄉,40192,14092,6000,促進電力開發，增進地方建設
92,75,aa,aa,aa,雲林縣,雲林縣口湖鄉公所,aa,協助雲林縣口湖鄉公所辦理103年新春聯誼暨電力建設宣導計畫活動(預計活動時程:103.2.13),103.2.13,103.2.13,雲林縣口湖鄉,91,50,50,配合宣導電力開發，提升台電企業形象
,,,,,,,,,,,,,,,
1,75,aa,aa,aa,新北市,新北市林口區公所,aa,協助新北市林口區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,16612,促進電力開發，協助公共建設及增進地方福祉
2,75,aa,aa,aa,新北市,新北市八里區公所,aa,協助新北市八里區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,4949,促進電力開發，協助公共建設及增進地方福祉
3,75,aa,aa,aa,高雄市,高雄市林園區公所,aa,協助高雄市林園區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,13002,促進電力開發，協助公共建設及增進地方福祉
4,75,aa,aa,aa,新北市,新北市新店區公所,aa,協助新北市新店區公所103年度發電年度協助金(運轉中),aa,aa,aa,aa,aa,355,促進電力開發，協助公共建設及增進地方福祉
5,75,aa,aa,aa,新北市,新北市汐止區公所,aa,協助新北市汐止區公所103年度輸變電協助金(運轉中)--汐止超高壓變電所,aa,aa,aa,aa,aa,5070,促進電力開發，協助公共建設及增進地方福祉
6,75,aa,aa,aa,南投縣,南投縣魚池鄉農會,62153103,協助南投縣魚池鄉農會辦理103年度筊白筍栽培─放養鳥鰡魚防治福壽螺危害計畫(預計活動時程:103.4.10-30),103.4.10,103.4.30,南投縣魚池鄉,320,80,70,促進電力開發，增進產業發展
7,75,aa,aa,aa,宜蘭縣,東部發電廠,aa,協助東部發電廠辦理宜蘭縣游文章急難救助協助金,aa,aa,宜蘭縣南澳鄉,20,20,10,關懷弱勢，提升台電企業形象
8,75,aa,aa,aa,花蓮縣,東部發電廠,aa,協助東部發電廠辦理花蓮縣秀林鄉富世村高志誠急難救協助金,aa,aa,花蓮縣秀林鄉,30,30,20,關懷弱勢，提升台電企業形象
9,75,aa,aa,aa,花蓮縣,花蓮縣原住民舒漾婦女關懷成長協會,18055028,協助花蓮縣原住民舒漾婦女關懷成長協會辦理103年度原住民社區英語、電腦、閱讀培訓班(預計活動時程:103.4.12-6.1),103.4.12,103.6.1,花蓮縣秀林鄉,74,50,50,配合宣導電力開發，提昇文教品質
10,75,aa,aa,aa,宜蘭縣,宜蘭縣大同鄉松羅社區發展協會,19602657,協助宜蘭縣大同鄉松羅社區發展協會辦理103年度村社區聯運暨泰雅傳統競技活動(預計活動時程:103.3.29),103.3.29,103.3.29,宜蘭縣大同鄉,215,30,20,配合宣導電力開發，提昇文教品質
11,75,aa,aa,aa,宜蘭縣,宜蘭縣三星鄉雙義社區發展協會,18434990,協助宜蘭縣三星鄉雙義社區發展協會辦理慶祝母親節安農溪步道健走活動(預計活動時程:103.5.4),103.5.04,103.5.04,宜蘭縣三星鄉,93,15,15,配合宣導電力開發，維護傳統習俗
12,75,aa,aa,aa,臺中市,臺中市東勢區公所,aa,協助臺中市東勢區公所辦理臺中市東勢區成功國民小學創校90週年校慶暨社區聯合運動會(預計活動時程:103.3.22-28),103.3.22,103.3.28,臺中市東勢區,300,96,70,配合宣導電力開發，提昇文教品質
13,75,aa,aa,aa,苗栗縣,苗栗縣卓蘭鎮公所,aa,協助苗栗縣卓蘭鎮公所辦理2014植樹節活動(預計活動時程:103.3.8),103.3.8,103.3.8,苗栗縣卓蘭鎮,275,260,60,配合宣導電力開發，提升台電企業形象
14,75,aa,aa,aa,苗栗縣,苗栗縣泰安歌舞發展協會,10909044,協助苗栗縣泰安歌舞發展協會辦理環保歌舞生態研習活動(預計活動時程:103/4/14),103.4.14,103.4.14,苗栗縣泰安鄉,113,30,25,配合宣導電力開發，提昇文教品質
15,75,aa,aa,吳育昇立委,新北市,新北市林口區老人會,74999979,協助新北市林口區老人會辦理參訪龍井區老人會暨老人福利政策宣導暨用電宣導(預計活動時程:103.5.6-8),103.5.6,103.5.8,新北市林口區,663,150,100,配合宣導電力開發，提升台電企業形象
16,75,aa,aa,aa,高雄市,高雄市小港區鳳源社區發展協會,77496795,協助高雄市小港區鳳源社區發展協會辦理幹部志工工作研習及參訪國家經濟建設暨宣導支持大林電廠更新改建計畫活動(預計活動時程:103.3.28-29),103.3.28,103.3.29,高雄市小港區,162,100,70,配合宣導電力開發，提升台電企業形象
17,75,aa,aa,aa,高雄市,高雄市龍鳳長青敬老協會,57933586,協助高雄市龍鳳長青敬老協會辦理關懷老人生活及參觀國家經濟建設暨宣導支持大林電廠更新改建計畫活動(預計活動時程:103.4.13-14),103.4.13,103.4.14,高雄市小港區,312,100,60,配合宣導電力開發，提升台電企業形象
18,75,aa,aa,aa,高雄市,高雄市湖內區公所,aa,協助高雄市湖內區公所辦理購買民眾活動中心之運動用桌球檯,103.4.13,103.12.13,高雄市湖內區,62,60,60,配合宣導電力開發，提昇文教品質
19,75,aa,aa,aa,高雄市,高雄市湖內休閒運動協會,9093161,協助高雄市湖內休閒運動協會辦理參訪電力重大建設學習之旅(預計活動時程:103.3.29-30),103.3.29,103.3.30,高雄市湖內區,146,100,60,配合宣導電力開發，提升台電企業形象
20,75,aa,aa,aa,高雄市,高雄市茄萣區興達國民小學,aa,協助高雄市茄萣區興達國民小學辦理慶祝十八週年校慶運動會暨節約能源宣導(預計活動時程:103.3.30),103.3.30,103.3.30,高雄市茄萣區,200,60,30,配合宣導電力開發，提昇文教品質
21,75,aa,aa,aa,高雄市,高雄市彌陀松柏長青會,87903130,協助高雄市彌陀松柏長青會辦理103年地方產業文化交流活動(預計活動時程:103.3.30-4.1),103.3.30,103.4.1,高雄市彌陀區,172,60,45,配合宣導電力開發，提升台電企業形象
22,75,aa,aa,aa,高雄市,高雄市彌陀公園長青協會,73676842,協助高雄市彌陀公園長青協會辦理103年度地方產業文化交流活動計畫(預計活動時程:103.3.18-20),103.3.18,103.3.20,高雄市彌陀區,375,100,45,配合宣導電力開發，提升台電企業形象
23,75,aa,aa,aa,高雄市,高雄市路竹區農會,88323700,協助高雄市路竹區農會辦理103年度農業產銷交流活動(預計活動時程:103.4.28-30),103.4.28,103.4.30,高雄市路竹區,300,120,90,促進電力開發，增進產業發展
24,75,aa,aa,aa,高雄市,高雄市永安區保寧社區發展協會,78941990,協助高雄市永安區保寧社區發展協會辦理長壽會參訪國家重大建設活動(預計活動時程:103.3.23-25),103.3.23,103.3.25,高雄市永安區,427,100,80,配合宣導電力開發，提升台電企業形象
25,75,aa,aa,aa,高雄市,高雄市茄萣區農會,87902836,協助高雄市茄萣區農會辦理103年度選任人員參觀電力建設活動(預計活動時程:103.3.12-14),103.3.12,103.3.14,高雄市茄萣區,242,150,100,配合宣導電力開發，提升台電企業形象
26,75,aa,aa,aa,高雄市,高雄市彌陀彌羅港文史協會,15741734,協助高雄市彌陀彌羅港文史協會辦理彌羅港2014年漯底山自然景觀探索之旅活動(預計活動時程:103.4.2),103.4.2,103.4.2,高雄市彌陀區,132,50,40,配合宣導電力開發，提升台電企業形象
27,75,aa,aa,aa,高雄市,高雄市路竹華山長壽協會,25892295,協助高雄市路竹華山長壽協會辦理103年度社區交流活動(預計活動時程:103.4.8-9),103.4.8,103.4.9,高雄市路竹區,280,60,30,配合宣導電力開發，提升台電企業形象
28,75,aa,aa,aa,高雄市,高雄市湖內區公所,aa,協助高雄市湖內區公所辦理2014年區長盃桌球比賽(預計活動時程:103.4或6月),103.4.1,103.6.1,高雄市湖內區,330,260,88,配合宣導電力開發，提昇文教品質
29,75,aa,aa,aa,高雄市,高雄市茄萣區嘉泰社區發展協會,36651744,協助高雄市茄萣區嘉泰社區發展協會辦理會員參訪國家建設暨節能減碳宣導活動實施計畫(預計活動時程:103.4.13-15),103.4.13,103.4.15,高雄市茄萣區,237,50,40,配合宣導電力開發，提升台電企業形象
